V2_mean	Isense_mean	dt	V2Ref_set
510	509	500	102
PWM	V2_read	Isense_read
0	510	510
0	510	510
0	510	510
0	509	510
0	510	509
0	509	510
0	510	510
0	509	510
0	510	510
0	509	510
0	510	511
0	509	510
0	510	510
0	509	509
0	509	510
0	509	510
0	510	510
0	509	509
0	510	509
0	509	510
0	510	510
0	510	510
0	510	509
0	510	510
0	510	510
0	510	510
0	511	510
0	509	510
0	510	509
0	510	510
0	511	509
0	510	510
0	510	510
0	510	510
0	511	510
0	510	510
0	510	510
0	510	509
0	510	511
0	509	510
0	510	510
0	509	510
0	510	510
0	509	510
0	510	509
0	509	510
0	510	510
0	509	510
0	509	510
0	509	511
0	510	510
0	509	509
0	510	510
0	509	510
0	510	510
0	509	510
0	510	509
0	510	510
0	510	510
0	510	509
0	511	509
0	510	510
0	510	509
0	510	510
0	511	510
0	510	509
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	509
0	509	510
0	510	510
0	509	510
0	509	510
0	509	510
0	510	510
0	509	510
0	509	510
0	509	510
0	510	510
0	509	510
0	510	510
0	510	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	511	510
0	510	510
0	510	509
0	510	509
0	510	510
0	511	510
0	510	510
0	510	509
0	510	510
0	510	510
0	511	510
0	510	510
0	510	510
0	510	510
0	510	509
0	509	509
0	510	510
0	509	510
0	510	510
0	509	509
0	509	510
0	509	510
0	510	510
0	509	510
0	510	510
0	509	510
0	510	510
0	509	510
0	510	510
0	510	509
0	510	510
0	510	510
0	510	510
0	510	510
0	511	510
0	511	510
0	511	509
0	510	510
0	510	510
0	510	509
0	511	509
0	510	509
0	510	509
0	510	510
0	510	510
0	510	510
0	510	509
0	509	510
0	510	510
0	509	510
0	509	510
0	509	510
0	510	510
0	509	510
0	509	510
0	509	510
0	510	510
0	509	509
0	510	510
0	510	510
0	510	510
0	509	510
0	510	510
0	509	511
0	510	510
0	510	510
0	511	510
0	509	510
0	511	511
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	511	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	510
0	510	509
0	509	510
0	510	510
0	509	510
0	510	510
0	510	509
0	510	510
0	509	509
0	510	510
0	509	510
0	509	510
0	509	510
0	510	510
0	509	510
0	510	510
0	509	510
0	510	510
0	510	510
0	511	510
0	510	510
0	510	510
0	510	509
0	511	510
0	510	510
53	510	510
69	512	510
84	523	509
102	510	510
117	536	511
128	569	510
134	603	511
137	625	510
138	636	510
139	635	511
137	652	511
137	636	511
139	629	511
142	617	512
140	648	511
142	618	512
141	640	512
143	614	512
145	621	511
145	628	513
143	644	513
143	630	512
146	606	513
144	635	512
144	626	513
145	620	513
148	604	514
147	633	513
146	629	513
149	601	514
